,StoreCode,S_type
0,1,medium
1,2,fast
2,3,slow
3,4,medium
4,5,slow
5,6,medium
6,7,medium
7,8,slow
8,9,medium
9,10,slow
10,11,slow
11,12,slow
12,13,slow
13,14,fast
14,15,slow
15,16,slow
16,17,medium
17,18,medium
18,19,slow
19,20,medium
20,21,medium
21,22,medium
22,23,slow
23,24,medium
24,25,medium
25,26,slow
26,27,slow
27,28,slow
28,29,slow
29,30,slow
30,31,medium
31,32,medium
32,33,slow
33,34,slow
34,35,medium
35,36,medium
36,37,medium
37,38,medium
38,39,slow
39,40,slow
40,41,medium
41,42,slow
42,43,slow
43,44,slow
44,45,slow
45,46,medium
46,47,slow
47,48,medium
48,49,slow
49,50,slow
50,51,slow
51,52,medium
52,53,medium
53,54,slow
54,55,medium
55,56,medium
56,57,fast
57,58,medium
58,59,slow
59,60,fast
60,61,medium
61,62,fast
62,63,slow
63,64,medium
64,65,slow
65,66,slow
66,67,slow
67,68,medium
68,69,medium
69,70,slow
70,71,medium
71,72,medium
72,73,slow
73,74,slow
74,75,medium
75,76,medium
76,77,slow
77,78,slow
78,79,slow
79,80,slow
80,81,slow
81,82,slow
82,83,fast
83,84,medium
84,85,slow
85,86,slow
86,87,slow
87,88,slow
88,89,slow
89,90,medium
90,91,slow
91,92,slow
92,93,medium
93,94,slow
94,95,medium
95,96,medium
96,97,medium
97,98,fast
98,99,fast
99,100,slow
100,101,slow
101,102,slow
102,103,medium
103,104,slow
104,105,slow
105,106,slow
106,107,medium
107,108,slow
108,109,slow
109,110,slow
110,111,slow
111,112,slow
112,113,slow
113,114,slow
114,115,slow
115,116,slow
116,117,fast
117,118,slow
118,119,fast
119,120,fast
120,121,medium
121,122,medium
122,123,medium
123,124,slow
124,125,medium
125,126,slow
126,127,medium
127,128,slow
128,129,medium
129,130,slow
130,131,medium
131,132,fast
132,133,slow
133,134,slow
134,135,medium
135,136,slow
136,137,slow
137,138,slow
138,139,slow
139,140,slow
140,141,medium
141,142,medium
142,143,slow
143,144,slow
144,145,medium
145,146,slow
146,147,slow
147,148,slow
148,149,slow
149,150,medium
150,151,fast
151,152,slow
152,153,medium
153,154,slow
154,155,medium
155,156,slow
156,157,medium
157,158,medium
158,159,slow
159,160,slow
160,161,medium
161,162,slow
162,163,medium
163,164,slow
164,165,slow
165,166,slow
166,167,medium
167,168,slow
168,169,slow
169,170,medium
170,171,medium
171,172,slow
172,173,slow
173,174,slow
174,175,medium
175,176,slow
176,177,medium
177,178,medium
178,179,medium
179,180,slow
180,181,medium
181,182,slow
182,183,slow
183,184,medium
184,185,slow
185,186,slow
186,187,slow
187,188,slow
188,189,slow
189,190,medium
190,191,slow
191,192,slow
192,193,fast
193,194,slow
194,195,medium
195,196,medium
196,197,medium
197,198,fast
198,199,slow
199,200,medium
200,201,slow
201,202,slow
202,203,slow
203,204,medium
204,205,fast
205,206,slow
206,207,medium
207,208,slow
208,209,slow
209,210,slow
210,211,slow
211,212,slow
212,213,slow
213,214,slow
214,215,slow
215,216,medium
216,217,medium
217,218,fast
218,219,slow
219,220,medium
220,221,slow
221,222,slow
222,223,medium
223,224,slow
224,225,slow
225,226,medium
226,227,slow
227,228,slow
228,229,slow
229,230,slow
230,231,slow
231,232,medium
232,233,medium
233,234,medium
234,235,medium
235,236,fast
236,237,medium
237,238,fast
238,239,medium
239,240,slow
240,241,medium
241,242,fast
242,243,medium
243,244,medium
244,245,slow
245,246,slow
246,247,medium
247,248,slow
248,249,slow
249,250,medium
250,251,medium
251,252,slow
252,253,slow
253,254,medium
254,255,medium
255,256,fast
256,257,slow
257,258,medium
258,259,medium
259,260,slow
260,261,slow
261,262,medium
262,263,medium
263,264,slow
264,265,medium
265,266,medium
266,267,medium
267,268,medium
268,269,slow
269,270,fast
270,271,medium
271,272,medium
272,273,slow
273,274,medium
274,275,fast
275,276,fast
276,277,medium
277,278,slow
278,279,medium
279,280,slow
280,281,fast
281,282,slow
282,283,slow
283,284,medium
284,285,medium
285,286,slow
286,287,medium
287,288,medium
288,289,medium
289,290,slow
290,291,medium
291,292,slow
292,293,medium
293,294,slow
294,295,slow
295,296,slow
296,297,medium
297,298,medium
298,299,slow
299,300,fast
300,301,fast
301,302,slow
302,303,medium
303,304,fast
304,305,fast
305,306,medium
306,307,fast
307,308,slow
308,309,medium
309,310,medium
310,311,slow
311,312,slow
312,313,medium
313,314,medium
314,315,slow
315,316,medium
316,317,slow
317,318,medium
318,319,slow
319,320,slow
320,321,medium
321,322,slow
322,323,medium
323,324,medium
324,325,medium
325,326,medium
326,327,slow
327,328,medium
328,329,medium
329,330,medium
330,331,fast
331,332,slow
332,333,fast
333,334,medium
334,335,medium
335,336,slow
336,337,medium
337,338,medium
338,339,medium
339,340,medium
